,관광지명,소재지도로명주소,위도,경도,시도명
696,창원단감테마공원,경상남도 창원시 의창구 동읍 동읍로 359번길 27,35.29915488,128.6632468,경상남도
697,창원의집,경상남도 창원시 의창구 사림로 16번길 59,35.24444959,128.6813533,경상남도
698,주남저수지,경상남도 창원시 의창구 동읍 주남로 101번길 26,35.30732964,128.6779306,경상남도
699,마금산온천,경상남도 창원시 의창구 북면 천주로 1167,35.35464845,128.6094168,경상남도
700,창원과학체험관,경상남도 창원시 성산구 충혼로 72번길 16,35.230268,128.6617774,경상남도
701,마산해양레포츠센터,경상남도 창원시 마산합포구 제2부두로 56,35.19796654,128.5759021,경상남도
702,웅천도요지전시관,경상남도 창원시 진해구 두동도요로 198,35.12738997,128.8155983,경상남도
703,진해해양레포츠센터,경상남도 창원시 진해구 천자로 160,35.14129989,128.6883002,경상남도
704,안성남사당공연장,안성시 보개면 남사당로 198-2,37.03172757,127.310155253,안성시
705,안성맞춤랜드,안성시 보개면 남사당로 198,37.033268155,127.310251433,안성시
706,안성맞춤캠핑장,안성시 보개면 남사당로 196-31,37.030171399,127.313419439,안성시
707,사계절썰매장,안성시 보개면 남사당로 198-3,37.031325774,127.3113281,안성시
708,천문과학관,안성시 보개면 남사당로 198-9,37.032910738,127.312537173,안성시
709,공예문화센터,안성시 보개면 남사당로 198-11,37.034576495,127.311290792,안성시
710,안성맞춤박물관,안성시 대덕면 서동대로 4726-15,37.011318,127.228354,안성시
711,안성3.1운동기념관,안성시 원곡면 만세로 868,37.06278592,127.1752942,안성시
712,박두진문학관,안성시 보개면 남사당로 198-11,37.03497856,127.3108743,안성시
713,고양관광정보센터,경기도 고양시 일산동구 중앙로1271-1,37.65948674,126.7726989,경기도
714,행주산성,경기도 고양시 덕양구 행주로 15번길 89,37.5961077521,126.8287117667,경기도
715,광명동굴,경기도 광명시 가학로 85번길 142,37.42467857,126.8634321,경기도
716,산정호수,경기도 포천시 영북면 산정호수로411번길 5 일원,38.065669,127.315722,경기도
717,백운계곡,경기도 포천시 이동면 포화로 236-24 일원,38.072165,127.409889,경기도
718,화암관광지,강원특별자치도 정선군 화암면 화암동굴길 12-13,37.35092374,128.7896216,강원특별자치도
719,아우라지 관광지,강원특별자치도 정선군 여량면 아우라지길 69,37.47574407,128.7243663,강원특별자치도
720,예술의전당,서울특별시 서초구 남부순환로 2406,37.4802402,127.0142152,서울특별시
721,국립국악원,서울특별시 서초구 남부순환로 2364,37.47771881,127.0098185,서울특별시
722,헌인릉,서울특별시 서초구 헌인릉길 36-10,37.46537744,127.0837156,서울특별시
723,매헌 윤봉길의사 기념관,서울특별시 서초구 매헌로 99,37.4730498,127.0369771,서울특별시
724,고투몰,서울특별시 서초구 신반포로 지하200,37.50622031,127.0050517,서울특별시
725,세빛섬· 반포대교 달빛무지개분수,서울특별시 서초구 올림픽대로 2085-14,37.5124362,126.9959623,서울특별시
726,삼성딜라이트,서울특별시 서초구 서초대로74길 11,37.4966085,127.0269023,서울특별시
727,오성한옥마을,전라북도 완주군 소양면 오도길 73,35.90695186,127.2367573,전북특별자치도
728,무궁화오토캠핑장,전라북도 완주군 고산면 고산휴양림로 89,35.97398132,127.2315513,전북특별자치도
729,송광사&벚꽃길,전라북도 완주군 소양면 송광수만로 255-16,35.885763,127.2417509,전북특별자치도
730,위봉사&위봉폭포&위봉산성,전라북도 완주군 소양면 위봉길 53,35.9105769,127.2572831,전북특별자치도
731,화암사,전라북도 완주군 경천면 화암사길 271,36.06629938,127.2872339,전북특별자치도
732,춘향테마파크,전라북도 남원시 양림길 14-9,35.401464,127.386902,전북특별자치도
733,남원항공우주천문대,전라북도 남원시 양림길 48-63,35.399194,127.387388,전북특별자치도
