,사업장명,도로명전체주소,좌표정보(x),좌표정보(y),시도명
110,(주)리젠,"서울특별시 서초구 서초대로 397, A동 1009호 (서초동, 브띠끄모나코)",202099.252780012,443921.619035316,서울특별시
111,(주)올리브티앤에이,"서울특별시 서초구 신반포로45길 9-26, 203호 (잠원동, 은정빌딩)",201515.404548545,445406.694057386,서울특별시
112,주식회사 저니코리아,"서울특별시 서초구 강남대로55길 24, 12층 (서초동)",202193.920856835,443717.690282156,서울특별시
113,주식회사 제트앤티코리아,"서울특별시 서초구 사평대로 160, 주차동 101호 (반포동)",200148.908812958,444359.607819267,서울특별시
114,(주)씨앤에이여행사,"서울특별시 서초구 방배천로 12-9, 4층 (방배동, 성도빌딩)",198469.85580049,441719.240333903,서울특별시
115,(주)다원씨앤티,서울특별시 서초구 신반포로43길 37 (잠원동),201453.107956901,445515.542590957,서울특별시
116,(주)지티엔,"서울특별시 서초구 양재천로19길 36, 2층 (양재동, 삼이빌딩)",203307.022567667,441648.915545539,서울특별시
117,(주)공생,"서울특별시 서초구 강남대로 156-2, 3층 (양재동, 은성빌딩)",203387.555054125,441822.527271293,서울특별시
118,(주) 한중문화교육교류원,"서울특별시 서초구 강남대로 631 (잠원동, 크레신타워)",201565.957243521,446206.354902748,서울특별시
119,(주)성진투어,"서울특별시 서초구 서초대로73길 42, 3층 302호 (서초동, 강남역리가스퀘어)",202085.112585737,444323.805098756,서울특별시
120,(주)파브리카,"서울특별시 서초구 강남대로79길 42, 3층 (반포동)",201846.3224714,444721.304069823,서울특별시
121,주식회사 제이앤비투어,"서울특별시 서초구 양재천로 111, 3층 (양재동, 경훈빌딩)",203538.047563516,441680.458644248,서울특별시
122,미래샌딩,"서울특별시 중구 을지로1길 15,  901호 (을지로1가,서광빌딩)",198139.289952741,451612.438834321,서울특별시
123,(주)사조마을,"서울특별시 서초구 강남대로 581 (잠원동,푸른빌딩 5층)",201664.358564847,445710.120020179,서울특별시
124,주식회사 캠핀투어,"서울특별시 서초구 남부순환로339길 60, 3층 A23호 (서초동)",201848.823344626,442614.350799967,서울특별시
126,빌리온컴,"서울특별시 서초구 나루터로 70 (잠원동,영서빌딩 314호)",201492.473245157,445897.49249113,서울특별시
128,이스타여행사,"서울특별시 서초구 반포대로14길 71, 1623호 (서초동,엘지에클라트)",201213.64069933,442739.647017252,서울특별시
129,(주)한올케이오알,"서울특별시 종로구 청계천로 247, 812호 (종로5가, 로얄빌딩)",200389.95085055,451961.847134184,서울특별시
130,섭천비지니스,"서울특별시 영등포구 버드나루로 109, 907호 (당산동, 현대뉴스타오피스텔)",191792.004895392,447294.839570281,서울특별시
131,주식회사 신창세여행사,"서울특별시 영등포구 선유로 32, 3층 (문래동4가, 우성빌딩)",190107.296278296,446063.171197356,서울특별시
132,(주)서울인투어,"서울특별시 송파구 백제고분로7길 7-9, B101호 (잠실동)",206960.853941553,445405.99558401,서울특별시
133,한국붕룡여행사,"경기도 고양시 덕양구 화정로 53-1 (화정동,글로리아빌딩 609호)",185138.139493965,459248.435650701,경기도
134,하나가오 여행사,"부산광역시 동구 중앙대로 270, 강남빌딩 613호 (초량동)",386177.958994368,182089.626704726,부산광역시
135,(주)국제럭셔리 여행사,"대구광역시 중구 국채보상로 673, 3층 (동인동2가)",344834.342271609,264443.73523377,대구광역시
136,(주)스마일투어,"대구광역시 중구 국채보상로125길 12, 3층 (공평동)",344326.500069451,264598.472339609,대구광역시
137,효성메디투어(주),"대구광역시 중구 국채보상로 515, 2층 (서문로2가)",343251.365402715,264520.837975252,대구광역시
138,(주)웰빙투어,"대구광역시 중구 동덕로 115, 606호 (삼덕동2가)",344686.25933796,263958.880864104,대구광역시
139,에이스여행(주),nan,399781.468150029,262837.211916801,nan
140,(주)블루투어,nan,399270.244521721,263428.831426426,nan
141,(주)코비아,"인천광역시 연수구 능허대로149번길 5, 2층 201호 (옥련동)",168599.079695086,435495.037041518,인천광역시
142,다브라트 트레이딩,"인천광역시 연수구 옥련로 30  (옥련동,중앙하이츠빌 상가 1층 일부)",168313.761540621,436153.607183166,인천광역시
143,(합)백제관광,경기도 여주시 북내면 당전로 523-15,263069.77232225,428117.171543013,경기도
144,(주)신후시스템,"서울특별시 송파구 오금로 111, 302호 (방이동, 세기빌딩)",209496.859211168,445600.046915876,서울특별시
145,(주)아이골프투어,"서울특별시 송파구 충민로 66, T-9084호 (문정동, 가든파이브라이프)",210986.460698452,441725.293491662,서울특별시
147,(주)에이엘티 투어,"서울특별시 송파구 가락로 94, 7층 (석촌동)",209357.956006173,444284.283207535,서울특별시
148,주식회사 룩베케이션,"서울특별시 송파구 오금로 87, 1003호 (방이동, 잠실리시온)",209427.410217251,445829.725943441,서울특별시
149,(주)블루오션 크루즈,"서울특별시 송파구 백제고분로 286, 4층 (석촌동)",208632.392503734,444458.708698776,서울특별시
150,(주)원진씨엔씨,"서울특별시 송파구 송파대로42길 6,  203호 (송파동)",209545.985984405,444713.021073149,서울특별시
151,뉴스타여행사(주),"서울특별시 송파구 송파대로49길 43  (석촌동,뉴스타빌딩 3층)",208797.537587761,444884.889256219,서울특별시
152,(주)일창국제여행사,"서울특별시 영등포구 선유로 32, 3층 (문래동4가, 우성빌딩)",190107.296278296,446063.171197356,서울특별시
153,체험농장리조트(주),서울특별시 송파구 올림픽로35가길 11 (신천동),209140.885315651,446042.592367722,서울특별시
154,오션인터내셔널 유한회사,"제주특별자치도 제주시 연동6길 11, 1203호 (연동)",152471.0232762,-1181.54159494747,제주특별자치도
155,(주)에스지투어,"서울특별시 강남구 테헤란로64길 8, 선릉역 롯데골드로즈오피스텔 1702호 (대치동)",204420.790491472,444662.872504745,서울특별시
156,(주)우주여행사,"부산광역시 동구 중앙대로 264,  301호 (초량동,아키빌딩)",386151.607173136,182025.581590054,부산광역시
157,(주)진성국제여행사,"인천광역시 미추홀구 인주대로 405-1, 2층 (주안동)",171770.006764577,438867.81109749,인천광역시
158,(주)한도관광,"제주특별자치도 제주시 신대로12길 51, 514호 (연동, 로얄쇼핑센타및오피스텔)",152631.300292882,-753.971230180774,제주특별자치도
159,(주)에스티앤지,"제주특별자치도 제주시 연동14길 3, 402호",152948.846170397,-1115.8963920407,제주특별자치도
160,(주)제주타임,제주특별자치도 제주시 도령로 46,151122.649410419,-633.110176117866,제주특별자치도
161,(유)화청여행사,제주특별자치도 제주시 우정로8길 25,146781.869331303,-665.982228426699,제주특별자치도
162,한통여행(주),"제주특별자치도 제주시 도령로 37, 노형 에코하임 1801호 (노형동)",151851.138239727,-787.05826870727,제주특별자치도
163,(주)인성국제여행사,"제주특별자치도 제주시 신대로12길 51 (연동, 로얄쇼핑센타및오피스텔)",152631.300292882,-753.971230180774,제주특별자치도
164,(주)리멤버제주,"제주특별자치도 제주시 구남동1길 2, 태흥오피스텔 201호",156991.953467432,-516.942484144051,제주특별자치도
165,연합호영엘에치알(주),"제주특별자치도 제주시 도령로 95, 타워프로빌 301호",152336.908718015,-456.438628776561,제주특별자치도
166,주식회사 화정여행사,제주특별자치도 제주시 연문4길 19,153476.923690134,-420.584290991482,제주특별자치도
167,제주광원여행사,"제주특별자치도 제주시 노연로 42, 정한오피스텔 806호 (노형동)",152005.802573495,-1055.10861275218,제주특별자치도
168,(주)유니,제주특별자치도 제주시 탑동로 37,155397.547568833,2454.07814920103,제주특별자치도
169,유더스투어,제주특별자치도 제주시 과원북4길 37,152203.70425326,-1562.07745613596,제주특별자치도
170,트래블컴퍼니 더 코리아(주),제주특별자치도 제주시 신산로 105,156828.684832849,1032.29902322644,제주특별자치도
171,(주)국인여행사,"제주특별자치도 제주시 서광로 112, 402호 (오라삼동)",154246.539555479,478.966650042983,제주특별자치도
172,(유)류가투어,제주특별자치도 제주시 연동4길 16 (연동),152317.201725216,-1206.41482034286,제주특별자치도
173,(주)골프인투어,"제주특별자치도 제주시 연북로 8, 에이스텔 1004호",151786.037541285,-1510.86858915143,제주특별자치도
174,(주)포도,제주특별자치도 제주시 남성로 7,154634.262321112,612.202899413345,제주특별자치도
175,와이에이투어(주),"제주특별자치도 제주시 연삼로 723, 203호 (화북이동)",159327.147349783,1732.86029729116,제주특별자치도
176,(주)복산여행사,"제주특별자치도 제주시 서광로 112, 402호 (오라삼동)",154246.539555479,478.966650042983,제주특별자치도
177,명국여행사 주식회사,"제주특별자치도 제주시 노연로 54, 2층 3호 (노형동)",152134.4154466,-1060.13257735923,제주특별자치도
178,유한회사  제주사랑여행사,"제주특별자치도 제주시 노연로 62, 508호 (연동, 신성오피스텔)",152219.956364529,-1062.98027105119,제주특별자치도
179,(주)상아여행사,"제주특별자치도 제주시 다랑곶6길 6, 세븐빌딩 504호",151796.732540534,-763.74670157626,제주특별자치도
180,(주)더아일랜드,"제주특별자치도 제주시 고마로 29, 대명빌딩",157072.765623582,1771.64319421494,제주특별자치도
181,성림관광,제주특별자치도 제주시 연동4길 16 (연동),152317.201725216,-1206.41482034286,제주특별자치도
182,주식회사 애보여행사,"제주특별자치도 제주시 연삼로 3, 한국인삼백화점 2층 (연동)",152803.523959648,-145.078407447526,제주특별자치도
183,주식회사 제주차이나투어,"제주특별자치도 제주시 신광로 15, 제주CBS방송국 2층 205호 (연동)",152566.362216009,-500.38088531949,제주특별자치도
184,(주)천말국제여행사,"제주특별자치도 제주시 과원북4길 91, 902호 (연동)",152644.488744583,-1579.7788020116,제주특별자치도
185,(주)제주국제관광여행사,제주특별자치도 제주시 1100로 3351,151537.792063124,-1130.86752983634,제주특별자치도
186,다원국제(주),"제주특별자치도 제주시 도령로 103, 104호 (연동, 연동한일씨티파크)",152394.024420427,-417.333491400613,제주특별자치도
187,비앤씨메디컬투어,"경기도 평택시 밀월로 28, 101호 (신장동)",204647.521244343,397250.737455503,경기도
188,(주)코리아투어,"경기도 평택시 서동대로 3620, 1층 (합정동)",209907.017700205,387075.913776673,경기도
189,(주)엔터커뮤니케이션,"제주특별자치도 제주시 노연로 42, 정한오피스텔 313호",153497.252906687,-3464.01649693212,제주특별자치도
190,주식회사 장성,제주특별자치도 제주시 인다1길 58-1 (아라일동),158282.084533291,-2521.1624977671,제주특별자치도
191,주식회사 베이스투어,제주특별자치도 제주시 평전길 28-1 (삼도일동),155263.084776636,765.249609702881,제주특별자치도
192,(주)이지타이거인터네셔널투어,"제주특별자치도 제주시 연북로 12, 이레하이텔 1104호",151824.023032849,-1512.2461299712,제주특별자치도
193,(주)레드스카프국제여행사,"제주특별자치도 제주시 노연로 42, 정한오피스텔 B-303호 (노형동)",152005.802573495,-1055.10861275218,제주특별자치도
194,탐나(주),제주특별자치도 제주시 광양9길 33 (이도이동),156539.113266758,622.411728680414,제주특별자치도
195,메인투어 주식회사,"제주특별자치도 제주시 연북로 92, 진현빌딩 2층 (연동)",152629.93245544,-1539.38129512554,제주특별자치도
196,(주)마이스톡,"경기도 양주시 평화로1454번길 1  (덕계동,1층)",204151.8092702,479750.268710472,경기도
197,(주)렛츠고투어,"경기도 파주시 중앙로 279, 301호 (아동동, 장안프라자)",180241.131277403,473170.680559459,경기도
198,(주)청아관광,경기도 파주시 문산읍 문향로49번길 20 (로얄빌딩),180948.368171416,483788.771221043,경기도
199,(주)골든소네트,경기도 용인시 처인구 명지로 218 (남동),217613.707866858,413766.596259475,경기도
200,(주)엠알투어,"경기도 안양시 동안구 관악대로 292, 2층 (관양동)",195971.008667616,433362.792663682,경기도
202,주식회사 와이앤트루,"서울특별시 강남구 역삼로4길 16, 성우스타우스오피스텔 435호 (역삼동)",202762.268960113,443356.78768548,서울특별시
203,선우 에프엔티,"서울특별시 광진구 아차산로 378, 한승빌딩 3층 (자양동)",207428.020928635,448255.352027526,서울특별시
204,에스케이 투어,강원특별자치도 춘천시 신동면 정족1길 36,264516.924392359,480970.170965727,강원특별자치도
205,주식회사 힐링투어,"강원특별자치도 속초시 설악금강대교로 12, E마트 1층 (청호동)",339761.153723826,522089.806016399,강원특별자치도
206,(주)운남서울국제여행사,"강원특별자치도 속초시 중앙로 346, 설악비치리조텔 3층 310호 (영랑동)",339352.254873,525240.903037651,강원특별자치도
207,(주) 올레여행사,"광주광역시 서구 상무평화로 131  (치평동,사이버빌딩 402호)",186497.820601773,183404.832992034,광주광역시
208,(주) 브랜든,광주광역시 서구 상무중앙로114번길 1126 (치평동),186174.009418035,184265.004919456,광주광역시
209,대한국제투어,"대전광역시 중구 대종로 397, 4층 405호 (대흥동, 보문빌딩)",238563.894168678,313398.375339536,대전광역시
210,(주)세진월드,"부산광역시 부산진구 진연로 9, 301호 (양정동, 제나두)",388867.67191233,188566.277334648,부산광역시
211,하나아트여행사,"부산광역시 사하구 낙동남로 1413, 13층 (하단동, 아트몰링)",379212.079721725,180390.068955488,부산광역시
212,(주)에스알컴퍼니,"부산광역시 수영구 광안로62번길 39,  2004호 (광안동,대우아이빌)",392903.676150034,185823.335338642,부산광역시
213,(주)엠케이메디칼,"부산광역시 수영구 수영로 757, 3층 (수영동)",393259.403029506,187424.494458732,부산광역시
214,(주)태화세계로여행,울산광역시 남구 돋질로 36 (신정동),409424.187150778,228831.699576467,울산광역시
215,(주)무룡관광여행사,울산광역시 남구 삼산로 104-1 (달동),410264.121939984,228615.443512939,울산광역시
216,(주)한솔여행사,울산광역시 남구 남중로 113  (삼산동),412864.526653099,229715.675011705,울산광역시
